"ID","articulo","marca","especificaciones","precio","pag_url"
1,"botas","CROYDON","Botas Plásticas Workman Safety W.P. Para Hombre Croydon 36 Amarillo",89900,"https://www.exito.com/botas-plasticas-workman-safety-wp-para-hombre-croydon-101571768-mp/p?color=Amarillo"
2,"botas","SAN POLOS","Bota seguridad industrial homb 37 CAFE/NJA",399900,"https://www.exito.com/bota-seguridad-industrial-hom-411509/p?color=CAFE%2FNJA"
3,"botas","SAN POLOS","Bota seguridad industrial homb 37 NEG/AMLLO",409900,"https://www.exito.com/bota-seguridad-industrial-hom-411509/p?color=NEG%2FAMLLO"
4,"botas","BRAHMA","ZAPATO CASUALDINAMICO JOGGER 41 CAFE/NJA",159900,"https://www.exito.com/zapato-brahma-casual-hombre-50417/p?color=CAFE%2FNJA"
5,"botas","SAN POLOS","Bota casual para hombre 37 MIEL",329900,"https://www.exito.com/bota-casual-para-hombre-412097/p?color=Miel"
6,"botas","TELLENZI","Botas Hombre Outdoor Verde Tellenzi 7 184 43 Verde",127900,"https://www.exito.com/botas-hombre-outdoor-verde-tellenzi-7-184-104164742-mp/p?color=Verde"
7,"botas","CROYDON","Botas Titan Negro Para Hombre Y Mujer Croydon 42 Negro-negro",51900,"https://www.exito.com/botas-titan-negro-para-hombre-y-mujer-croydon-102140990-mp/p?color=Negro-negro"
8,"botas","CROYDON","Botas Bigger Café Para Hombre Croydon 38 Café",109800,"https://www.exito.com/botas-bigger-cafe-para-hombre-croydon-102219491-mp/p?color=Caf%C3%A9"
9,"botas","BRAHMA","BOTIN 38 AMARILLO",749900,"https://www.exito.com/brahama-botin-pr2987-ama38-din-874310/p?color=Amarillo"
10,"botas","BRAHMA","Botin Hombre 39 CAFE",769900,"https://www.exito.com/brahma-botin-tf2794-hombre-841939/p?color=Cafe"
11,"botas","BRAHMA","BOTIN TREKKING 41 TAUPE",769900,"https://www.exito.com/brahma-botin-trekking-tf2794-h-717733/p?color=TAUPE"
12,"botas","CROYDON","BOTA EN LONA 39 - BLANCO",119900,"https://www.exito.com/bota-en-lona-709013/p?color=Blanco"
13,"botas","CROYDON","BOTA EN LONA 37 - NEGRO",119900,"https://www.exito.com/bota-en-lona-709013/p?color=Negro"
14,"botas","CROYDON","BOTA 37 NEGRO",53900,"https://www.exito.com/bota-682495/p?color=Negro"
15,"botas","CROYDON","BOTA. 41 NEGRO",59900,"https://www.exito.com/bota-682493/p?color=Negro"
16,"botas","BRAHMA","TREKKING HOMBRE 39 PARDO",559920,"https://www.exito.com/brahma-trekking-hq2380-hombre-610409/p?color=PARDO"
17,"botas","SAN POLOS","Bota hombre 37 NEGRO",319900,"https://www.exito.com/bota-hombre-2295-561036/p?color=Negro"
18,"botas","SAN POLOS","Bota seguridad industrial 37 CAFE",409900,"https://www.exito.com/bota-seguridad-industrial-hom-419104/p?color=Cafe"
19,"botas","SAN POLOS","Bota casual para hombre 37 MIEL",369900,"https://www.exito.com/bota-casual-para-hombre-417052/p?color=Miel"
20,"botas","SAN POLOS","Bota outdoor para hombre 38 NEGRO",449900,"https://www.exito.com/bota-outdoor-para-hombre-415976/p?color=Negro"
21,"botas","SAN POLOS","Bota outdoor para hombre 37 NGR/VDE",429900,"https://www.exito.com/bota-outdoor-para-hombre-415746/p?color=NGR%2FVDE"
22,"botas","SAN POLOS","Bota casual para hombre 39 - CAFE-AZUL",389900,"https://www.exito.com/bota-casual-para-hombre-415387/p?color=Caf%C3%A9"
23,"botas","SAN POLOS","Bota casual para hombre 37 NEGRO",369900,"https://www.exito.com/bota-casual-para-hombre-415354/p?color=Negro"
24,"botas","SAN POLOS","Bota outdoor para hombre 37 NIEBLA",399900,"https://www.exito.com/bota-outdoor-para-hombre-414751/p?color=NIEBLA"
25,"botas","SAN POLOS","Bota casual para hombre 37 MIEL",369900,"https://www.exito.com/bota-casual-para-hombre-413493/p?color=Miel"
26,"botas","SAN POLOS","Bota outdoor para hombre 38 ARENA",399900,"https://www.exito.com/bota-outdoor-para-hombre-413430/p?color=Arena"
27,"botas","SAN POLOS","Bota outdoor para hombre 37 NEGRO",399900,"https://www.exito.com/bota-outdoor-para-hombre-412339/p?color=Negro"
28,"botas","SAN POLOS","Bota outdoor para hombre 37 CAFE",359900,"https://www.exito.com/bota-outdoor-para-hombre-412336/p?color=Cafe"
29,"botas","SAN POLOS","Bota outdoor para hombre 37 VERDE",359900,"https://www.exito.com/bota-outdoor-para-hombre-411314/p?color=Verde"
30,"botas","BRAHMA","Bota Casual Hombre 43 AMARILLO",749900,"https://www.exito.com/bota-casual-hombre-brahma-pr3489-3098262/p?color=Amarillo"
31,"botas","BRAHMA","Bota Casual Hombre 4 NEGRO",524930,"https://www.exito.com/bota-casual-hombre-brahma-pr3489-3098262/p?color=Negro"
32,"botas","BRAHMA","Bota Casual Hombre 4 MARRON",524930,"https://www.exito.com/bota-casual-hombre-brahma-pr3489-3098262/p?color=MARRON"
33,"botas","BRAHMA","Bota Trekking Hombre 40 CAMUFLADO",589900,"https://www.exito.com/bota-trekking-hombre-brahma-rq3481-3098252/p?color=CAMUFLADO"
34,"botas","BRAHMA","Bota Trekking 40 GRIS",659900,"https://www.exito.com/bota-trekking-brahma-rq3394-3079499/p?color=Gris"
35,"botas","BRAHMA","Bota Trekking 39 NEGRO",659900,"https://www.exito.com/bota-trekking-brahma-rq3394-3079499/p?color=Negro"
36,"botas","BRAHMA","Bota Trekking 43 TAUPE",679900,"https://www.exito.com/bota-trekking-brahma-ot1393-3079497/p?color=TAUPE"
37,"botas","BRAHMA","Bota Trekking 43 GRIS",679900,"https://www.exito.com/bota-trekking-brahma-ot1393-3079497/p?color=Gris"
38,"botas","BRAHMA","Bota Casual Informal Hombre 41 NEGRO",749900,"https://www.exito.com/bota-casual-informal-hombre-brahma-ix3387-3051909/p?color=Negro"
39,"botas","BRAHMA","Bota Casual Informal Hombre 4 CAFE",749900,"https://www.exito.com/bota-casual-informal-hombre-brahma-ix3387-3051909/p?color=Cafe"
40,"botas","BRAHMA","Bota Casual Informal Hombre 40NEGRO",729900,"https://www.exito.com/bota-casual-informal-hombre-brahma-ix3384-3051907/p?color=Negro"
41,"botas","BRAHMA","Bota Casual Informal Hombre 41CAFE",729900,"https://www.exito.com/bota-casual-informal-hombre-brahma-ix3384-3051907/p?color=Cafe"
42,"botas","BRAHMA","Bota Puntera De Acero Hombre 38 NUEZ",769900,"https://www.exito.com/bota-puntera-de-acero-hombre-brahma-fx4707-3051233/p?color=NUEZ"
43,"botas","BRAHMA","Bota Casual Iinformal Hombre 4 CAFE",749900,"https://www.exito.com/bota-casual-iinformal-hombre-brahma-cv3296-3051231/p?color=Cafe"
44,"botas","BRAHMA","Bota Casual Iinformal Hombre 43 NEGRO",749900,"https://www.exito.com/bota-casual-iinformal-hombre-brahma-cv3296-3051231/p?color=Negro"
45,"botas","BRAHMA","Bota Trekking Hombre 43 CAFE/NAVY",679900,"https://www.exito.com/bota-trekking-hombre-brahma-tf3099-3051211/p?color=CAFE%2FNAVY"
46,"botas","BRAHMA","Bota Trekking Hombre 43 NEGRO",729900,"https://www.exito.com/bota-trekking-hombre-brahma-ix3298-3051209/p?color=Negro"
47,"botas","BRAHMA","Bota Trekking Hombre 39 ARENA",729900,"https://www.exito.com/bota-trekking-hombre-brahma-ix3298-3051209/p?color=Arena"
48,"botas","BRAHMA","Zapato C Dinamico Caballero 4 CAFE",569900,"https://www.exito.com/zapato-c-dinamico-caballero-brahma-kj3299-3033559/p?color=Cafe"
49,"botas","BRAHMA","Bota Clasica Para Hombre 41 AMARILLO",749900,"https://www.exito.com/bota-clasico-brahma-cv3088-3023109/p?color=Amarillo"
50,"botas","BRAHMA","Bota Biker Hombre 43 CAFE",589900,"https://www.exito.com/bota-biker-brahma-rq3286-3023102/p?color=Cafe"
51,"botas","BRAHMA","Bota Casual Para Hombre 38 CAFE",659900,"https://www.exito.com/bota-casual-brahma-to2699-3023095/p?color=Cafe"
52,"botas","BRAHMA","Bota Casual Para Hombre 43 MARRON",659900,"https://www.exito.com/bota-casual-brahma-to2699-3023095/p?color=MARRON"
53,"botas","BRAHMA","Bota Fashion Para Hombre 43 AMARILLO",749900,"https://www.exito.com/bota-fashion-brahma-pr2987-3023094/p?color=Amarillo"
54,"botas","BRAHMA","Bota Fashion Para Hombre 40 PARDO",749900,"https://www.exito.com/bota-fashion-brahma-pr2987-3023094/p?color=PARDO"
55,"botas","BRAHMA","Bota Hombre 37 PARDO",599920,"https://www.exito.com/bota-hom-brahma-ot3199-284138/p?color=PARDO"
56,"botas","BRAHMA","Bota Hombre 39 NEGRO",749900,"https://www.exito.com/bota-hom-brahma-ot3199-284138/p?color=Negro"
57,"botas","BRAHMA","Botin Hombre 38 NEGRO",589900,"https://www.exito.com/botin-hombre-brahma-ks3280-284091/p?color=Negro"
58,"botas","BRAHMA","Botin Hombre 38 CAFE",589900,"https://www.exito.com/botin-hombre-brahma-ks3280-284091/p?color=Cafe"
59,"botas","BRAHMA","Botin Hombre 38 CAFE",599900,"https://www.exito.com/botin-hom-ix3181-brahma-ix3181-282828/p?color=Cafe"
60,"botas","BRAHMA","Botin Hombre 38 NEGRO",599900,"https://www.exito.com/botin-hom-ix3181-brahma-ix3181-282828/p?color=Negro"
61,"botas","BRAHMA","Botin Hombre 43 TAUPE",729900,"https://www.exito.com/botin-hom-ix3097-brahma-ix3097-282788/p?color=TAUPE"
62,"botas","BRAHMA","Botin Hombre 38 NEGRO",729900,"https://www.exito.com/botin-hom-ix3097-brahma-ix3097-282788/p?color=Negro"
63,"botas","BRAHMA","Bota Hombre 4 NEGRO",461930,"https://www.exito.com/bota-hom-gn3190-brahma-gn3190-279692/p?color=Negro"
64,"botas","BRAHMA","BOTA INFORMAL ADULTO 40 PARDO",769900,"https://www.exito.com/bota-informal-adulto-15837/p?color=PARDO"
65,"botas","BRAHMA","Botin Trecking Hombre 38PARDO",699900,"https://www.exito.com/botin-trecking-hombre-brahma-tf3096-141523/p?color=PARDO"
66,"botas","SAN POLOS","Bota casual para hombre 37 PARDO",329900,"https://www.exito.com/bota-casual-para-hombre-san-polos-13444/p?color=PARDO"
67,"botas","BATA INDUSTRIALS","Talla 39",119900,"https://www.exito.com/botas-de-seguridad-blanco-bata-industrials-dustin-blanca-hombre-123802771/p"
68,"botas","OAKLEY","BLACK 9.5",261900,"https://www.exito.com/botas-oakley-halftrack-low-ii-123796506/p?color=Negro"
69,"botas","BATA","Talla 40",189900,"https://www.exito.com/botas-negro-bata-logan-boot-hombre-123794752/p"
70,"botas","BATA","Talla 40",151920,"https://www.exito.com/botas-cafe-oscuro-bata-logan-boot-hombre-123794750/p"
71,"botas","BATA","Talla 38",189900,"https://www.exito.com/botas-cafe-bata-lombardia-boot-hombre-123792435/p"
72,"botas","BATA INDUSTRIALS","Talla 37",236900,"https://www.exito.com/botas-de-seguridad-negro-bata-industrials-york-unisex-123708228/p"
73,"botas","BATA INDUSTRIALS","Talla 42",49900,"https://www.exito.com/botas-de-pvc-basico-negro-bata-industrials-poderosa-hombre-123687280/p"
74,"botas","BATA INDUSTRIALS","Talla 42",145900,"https://www.exito.com/botas-de-seguridad-negro-bata-industrials-entry-kevlar-hombre-123687274/p"
75,"guayos","NIKE","Talla :-9.5-",215970,"https://www.exito.com/nike-phantom-gx-club-fg-mg-guayos-rojo-de-hombre-para-futbol-123787370/p?color=ROJO_%23FF0000"
76,"guayos","CROYDON","Guayos Sintética Kimber Para Hombre Croydon Croydon 42 Plata",125100,"https://www.exito.com/guayos-sintetica-kimber-para-hombre-croydon-croydon-104234113-mp/p?color=Plata"
77,"guayos","CROYDON","Guayos Ixal Azul Para Hombre Croydon 43 Azul",69900,"https://www.exito.com/guayos-ixal-azul-para-hombre-croydon-102644373-mp/p?color=Azul"
78,"guayos","GOLTY","Guayo Golty Tpu Pro Bio Flex Azul 8 Azul",159990,"https://www.exito.com/guayo-golty-tpu-pro-bio-flex-azul-104277436-mp/p?color=Azul"
79,"guayos","CROYDON","Guayos De Sintética Denamo Para Hombre 43 Azul-Oscuro",149900,"https://www.exito.com/guayos-de-sintetica-denamo-para-hombre-103337670-mp/p?color=Azul-Oscuro"
80,"guayos","CROYDON","Guayos Magni Gris Para Hombre Croydon 42 Gris",64900,"https://www.exito.com/guayos-magni-gris-para-hombre-croydon-102411555-mp/p?color=Gris"
81,"guayos","NIKE","Guayos Nike Superfly 9 Club Fg/Mg Blanco/Rojo 9.5 Blanco",414990,"https://www.exito.com/guayos-nike-superfly-9-club-fgmg-blancorojo-104254754-mp/p?color=Blanco"
82,"guayos","CROYDON","Guayos Sintética Tiffer Para Hombre Croydon Croydon 40 Negro",92700,"https://www.exito.com/guayos-sintetica-tiffer-para-hombre-croydon-croydon-104234190-mp/p?color=Negro"
83,"guayos","CROYDON","Guayos Grama Toler Para Hombre Croydon Croydon 40 Naranja",102600,"https://www.exito.com/guayos-grama-toler-para-hombre-croydon-croydon-104234058-mp/p?color=Naranja"
84,"guayos","GOLTY","Guayos Golty Pro Spectrum Tpu Negro 8 Negro",199990,"https://www.exito.com/guayos-golty-pro-spectrum-tpu-negro-104289464-mp/p?color=Negro"
85,"guayos","ADIDAS","Talla :-9-",279965,"https://www.exito.com/adidas-f50-club-tf-messi-guayos-blanco-de-hombre-para-futbol-124131990/p?color=blanco_%23ffffff"
86,"guayos","NIKE","DD9483-600-7",366900,"https://www.exito.com/guayos-nike-hombre-phantom-gx-club-rojo-negro-dd9483-600-124136529/p"
87,"guayos","ADIDAS","HP2519-8.5",244950,"https://www.exito.com/guayos-adidas-hombre-deportivo-ii-cesped-artificial-negro-azul-hp2519-124136525/p"
88,"guayos","NIKE","FJ2566-800-9",621950,"https://www.exito.com/guayos-nike-hombre-phantom-luna-ii-academy-tf-fj2566-800-124136494/p"
89,"guayos","ADIDAS","Talla :-8-",229950,"https://www.exito.com/adidas-goletto-ix-tf-guayos-negro-unisex-para-futbol-124133926/p?color=negro_%23000000"
90,"guayos","ADIDAS","Talla :-6-",209950,"https://www.exito.com/adidas-goletto-ix-tf-j-guayos-negro-unisex-para-futbol-124133925/p?color=negro_%23000000"
91,"guayos","ADIDAS","Talla :-10-",399950,"https://www.exito.com/adidas-f50-club-fg-mg-mess-guayos-gris-unisex-para-futbol-124133924/p?color=gris_%23A4A4A4"
92,"guayos","ADIDAS","Talla :-6-",249950,"https://www.exito.com/adidas-f50-club-fg-mg-j-me-guayos-gris-unisex-para-futbol-124133923/p?color=gris_%23A4A4A4"
93,"guayos","NIKE","FJ2558-300-9.5",434950,"https://www.exito.com/guayos-nike-hombre-phantom-luna-2-blub-mg-fj2558-300-124133821/p"
94,"guayos","NIKE","FJ2557-002-9",424950,"https://www.exito.com/guayos-nike-hombre-phantom-gx-2-club-fj2557-002-124133820/p"
95,"guayos","ADIDAS","HP6460-9.5",244950,"https://www.exito.com/guayos-adidas-hombre-goletto-viii-blanco-hp6460-124132088/p"
96,"guayos","ADIDAS","Talla :-9-",279965,"https://www.exito.com/adidas-f50-club-fxg-messi-guayos-blanco-de-hombre-para-futbol-124131991/p?color=blanco_%23ffffff"
97,"guayos","ADIDAS","Talla :-9-",279965,"https://www.exito.com/adidas-predator-club-fxg-guayos-gris-de-hombre-para-futbol-124131939/p?color=gris_%23A4A4A4"
98,"guayos","ADIDAS","Talla :-10-",279965,"https://www.exito.com/adidas-f50-club-tf-guayos-negro-de-hombre-para-futbol-124131938/p?color=negro_%23000000"
99,"guayos","PUMA","Talla :-10-",197970,"https://www.exito.com/puma-ultra-play-tt-guayos-naranja-de-hombre-para-futbol-124131932/p?color=naranja_%23FF8000"
100,"guayos","ADIDAS","Talla :-9-",279965,"https://www.exito.com/adidas-predator-club-tf-guayos-azul-de-hombre-para-futbol-124131859/p?color=azul_%230101DF"
101,"guayos","ADIDAS","Talla :-10.5-",319960,"https://www.exito.com/adidas-f50-club-tf-guayos-blanco-de-hombre-para-futbol-124131833/p?color=blanco_%23ffffff"
102,"guayos","ADIDAS","Talla :-8-",319960,"https://www.exito.com/adidas-f50-club-tf-guayos-blanco-de-hombre-para-futbol-124131560/p?color=blanco_%23ffffff"
103,"guayos","NIKE","DD9483-600-9",366900,"https://www.exito.com/guayos-nike-hombre-phantom-gx-club-rojo-negro-dd9483-600-124131324/p"
104,"guayos","ADIDAS","HP2519-8",244950,"https://www.exito.com/guayos-adidas-hombre-deportivo-ii-cesped-artificial-negro-azul-hp2519-124131255/p"
105,"guayos","NIKE","FD1168-600-8.5",528950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fd1168-600-124131065/p"
106,"guayos","NIKE","FD1162-600-9.5",574950,"https://www.exito.com/guayos-nike-hombre-mercurial-superfly-9---fd1162-600-124131064/p"
107,"guayos","NIKE","DD9473-300-9.5",499950,"https://www.exito.com/guayos-nike-hombre-phantom-gx-academy-fg---dd9473-300-124131040/p"
108,"guayos","ADIDAS","IH8298-9.5",244950,"https://www.exito.com/guayos-adidas-hombre-goletto-vlll-ih8298-124130538/p"
109,"guayos","NIKE","FQ8333-800-9",634950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fq8333-800-124130525/p"
110,"guayos","NIKE","FQ8377-800-9.5",604950,"https://www.exito.com/guayos-nike-hombre-zoom-vapor-16-academy---fq8377-800-124130524/p"
111,"guayos","NIKE","DJ5629-600-8.5",574950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---dj5629-600-124130515/p"
112,"guayos","ADIDAS","HP2519-7",244950,"https://www.exito.com/guayos-adidas-hombre-deportivo-ii-cesped---hp2519-124129289/p"
113,"guayos","ADIDAS","IF0723-8.5",379950,"https://www.exito.com/torretin-adidas-hombre-x-crazyfast-club---if0723-124129010/p"
114,"guayos","ADIDAS","IG7711-8",379950,"https://www.exito.com/torretin-adidas-hombre-predator-club-pas---ig7711-124129004/p"
115,"guayos","ADIDAS","IF6399-8",409950,"https://www.exito.com/torretin-adidas-hombre-predator-club-pas-124128987/p"
116,"guayos","NIKE","FQ8331-400-9",634950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fq8331-400-124128965/p"
117,"guayos","NIKE","FQ8333-800-7.5",634950,"https://www.exito.com/guayos-nike-hombre-para-pasto-sintetico---fq8333-800-124128964/p"
118,"guayos","NIKE","Talla :-9-",507960,"https://www.exito.com/nike-zm-superfly-10-acad-km-fg-mg-guayos-naranja-de-hombre-para-futbol-124126234/p?color=naranja_%23FF8000"
119,"guayos","NIKE","Talla :-9-",279960,"https://www.exito.com/nike-vapor-15-club-fg-mg-guayos-amarillo-de-hombre-para-futbol-124123159/p?color=amarillo_%23FFFF00"
120,"guayos","POWER","Talla 44",139900,"https://www.exito.com/guayos-negro-verde-power-star-std-hombre-123803728/p"
121,"guayos","UNDER ARMOUR","Talla :-9.5-",293970,"https://www.exito.com/ua-magnetico-select-3-0-fg-guayos-rojo-de-hombre-para-futbol-123789431/p?color=ROJO_%23FF0000"
122,"guayos","PUMA","Talla :-9.5-",256170,"https://www.exito.com/puma-future-play-mg-guayos-azul-de-hombre-para-futbol-123789416/p?color=azul_%230101DF"
123,"guayos","PUMA","Talla :-10.5-",256170,"https://www.exito.com/puma-future-play-mg-guayos-amarillo-de-hombre-para-futbol-123789413/p?color=amarillo_%23FFFF00"
124,"guayos","PUMA","Talla :-8.5-",256170,"https://www.exito.com/puma-future-play-fg-guayos-azul-de-hombre-para-futbol-123787371/p?color=azul_%230101DF"
125,"guayos","NIKE","Talla :-9-",221970,"https://www.exito.com/nike-phantom-gx-club-fg-mg-guayos-negro-de-hombre-para-futbol-123787350/p?color=negro_%23000000"
126,"guayos","NIKE","Talla :-9.5-",317970,"https://www.exito.com/nike-zoom-vapor-15-acad-mds-fg-mg-guayos-multicolor-de-hombre-para-futbol-123787339/p?color=ROJO_%23FF0000"
127,"guayos","PUMA","Talla :-12-",227970,"https://www.exito.com/puma-ultra-play-fg-ag-guayos-azul-de-hombre-para-futbol-123786791/p?color=azul_%230101DF"
128,"guayos","PUMA","Talla :-9.5-",227970,"https://www.exito.com/puma-ultra-play-fg-ag-guayos-azul-de-hombre-para-futbol-123786790/p?color=azul_%230101DF"
129,"guayos","CROYDON","Guayos Sintética Ziblo Para Hombre Croydon Croydon 38 Negro",149900,"https://www.exito.com/guayos-sintetica-ziblo-para-hombre-croydon-croydon-104298694-mp/p?color=Negro"
130,"guayos","CROYDON","Guayos Sintética Ziblo Para Hombre Croydon Croydon 40 Azul-Oscuro",149900,"https://www.exito.com/guayos-sintetica-ziblo-para-hombre-croydon-croydon-104298676-mp/p?color=Azul-Oscuro"
131,"guayos","CROYDON","Guayos Grama Krim Para Hombre Croydon Croydon 38 Azul-Oscuro",149900,"https://www.exito.com/guayos-grama-krim-para-hombre-croydon-croydon-104298245-mp/p?color=Azul-Oscuro"
